OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,19:12:49,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:00,1.Classroom Management,STOMPER1,Observing
1,00:00:00,00:00:01,1.Classroom Management,STOMPER2,Observing
1,00:00:00,00:00:01,1.Classroom Management,STOMPER2,HandingOutMaterial
1,00:00:00,00:00:03,1.Classroom Management,STOMPER1,AsweringQuestion
1,00:00:00,00:00:03,1.Classroom Management,Interaction,EngineeringConnection
1,00:00:00,00:00:03,1.Classroom Management,Interaction,PersonalEngineeringExperience
1,00:00:00,00:00:04,1.Classroom Management,Intervention,ClassWorkExamples
1,00:00:00,00:00:10,1.Classroom Management,LogTimeOutNote,
