OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,14:26:20,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:00,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,6.Directions/Materials,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,5.Group Discussion/Q&A/Share Results,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,4.Hands-on Activity,ClassroomActivityChanged,NoData
1,00:00:00,00:00:02,3.Engineering/STEM Content,ClassroomActivityChanged,NoData
1,00:00:00,00:00:03,2.Intro Design Task,ClassroomActivityChanged,NoData
1,00:00:00,00:00:10,2.Intro Design Task,LogTimeOutNote,
2,00:00:20,00:00:30,2.Intro Design Task,LogTimeOutNote,
3,00:00:40,00:00:50,2.Intro Design Task,LogTimeOutNote,
