OBSERVATION LOGS:
Log Index,Log Started,Event Time,Classroom Activity,Event Type,Event Detail
0,16:40:20,00:00:00,1.Classroom Management,ClassroomActivityChanged,NoData
1,00:00:00,00:00:01,1.Classroom Management,STOMPER1,HandingOutMaterial
1,00:00:00,00:00:02,1.Classroom Management,STOMPER1,TalkingToClass
1,00:00:00,00:00:02,1.Classroom Management,STOMPER1,TalkingToClass
1,00:00:00,00:00:02,1.Classroom Management,STOMPER1,TalkingToClass
1,00:00:00,00:00:02,1.Classroom Management,STOMPER1,TalkingToIndividual
1,00:00:00,00:00:02,1.Classroom Management,STOMPER1,TalkingToIndividual
1,00:00:00,00:00:03,1.Classroom Management,STOMPER1,AsweringQuestion
